,KS p-value normal,KS p-value student,KS p-value stable,t-Student nu,levy alpha,levy beta,levy mu,levy sigma,levy neglog
FR102895622=,2.8214812025994347e-49,1.024337928153231e-58,6.000879377679765e-295,8.429980468750015,0.9895019387540891,0.1478984986863362,-0.06643144177281622,0.04437156147503917,-543.9417784626289
US108405031=,2.573616445379465e-52,1.300300139656802e-61,0.07537650844265396,10.943652343750024,1.4859375412022644,0.1357976680181429,-0.03573365236448619,0.07020244183454062,-530.5771096021986
XS120710516=2M,9.500964815925845e-37,7.722678704192438e-40,7.588811356564946e-36,6.494335937500011,0.5,-0.4592290182114359,0.008031676824327632,0.009748525954819379,-552.0676492748784
FR122110575=,1.0114448036270229e-14,3.0173926589724634e-13,0.30680196394647663,5.9630859375000105,1.114059943229735,0.015006022373626825,-0.037642635453197675,0.24669300936300004,669.8745105293607
FR122511227=,5.079034028342081e-09,1.4773345725903778e-12,0.6224125888503914,5.6701171875000105,1.0695920516393103,0.0023161235630329395,-0.04415907736643577,0.25647281662441135,725.3635797032919
US122728722=,0.13117093941745844,0.014079847731122839,0.07719546868516415,9.506835937500018,1.678160915092667,0.34369455504553476,-0.08474157056965351,0.5306243523272041,895.3300420362635
FR124105366=,1.3468616140215998e-13,4.0476811299966944e-16,1.165704172567891e-293,5.443652343750008,1.0013085103875223,0.17707051538245375,-0.051055761313930095,0.19537576582182098,565.7307557113623
FR126590393=,2.7012098869220445e-37,1.328830401717749e-42,0.0003862790699535995,6.259472656250011,0.8135119825597408,-0.06818142580471635,0.023144602537520636,0.03984828689157913,-318.2136669006263
BE132389748=,5.6179970794995606e-05,7.794376500614643e-07,0.0007627574632730362,6.877539062500012,1.3120747791153244,-0.11507085189403714,0.014620363908320562,0.38908987739857503,669.5290390221528
BE132389772=,0.0002168765756437029,0.0002809855566252584,0.23172749355774175,7.584375000000015,1.3769933516693957,-0.10770974897473191,0.02627093014956806,0.4042852733955883,663.0074606309732
FR140578231=,4.408525184127631e-05,1.6517177518695125e-05,0.0040071963503804575,6.986328125000012,0.8898711086261117,-0.03265597434276862,-0.0017747241240104877,0.2522525550883698,506.1644291405399
FR140950688=,0.0002481545996264616,0.00033246672861472016,0.0013346994402987972,6.993261718750013,1.2919739994378459,0.10179685260949599,-0.057695801172349265,0.38783698118247734,520.8679998176278
US149013741=,0.004522207157661099,0.012728852101974952,0.01624113219427325,10.833203125000022,1.7701237590598164,0.7740918003692275,-0.1471216090415087,0.5542385223907246,436.834380427276
LU151267041=,0.08865782294304715,0.010327495933969854,0.028778684592579745,7.311523437500013,1.3967536307442134,0.12367394775923961,-0.0695523695708297,0.42806929955933143,372.8063167547421
US151716989=,3.707680582432173e-10,1.1060076632735192e-09,1.8079576296323772e-101,7.725683593750016,1.003654064753574,0.0522272067002636,-0.05195827012974098,0.14178009369328873,142.364396264047
US151716997=,3.3192634182622835e-06,0.00011948353797743435,0.0003482831964343649,8.041015625000016,0.5,0.03977929503097585,-0.010009036835304809,0.09629468035995332,305.6003349822254
FR0011993500=,2.3092288741584312e-08,2.7475029558061168e-06,2.859736418550925e-05,7.288574218750012,1.3492822525517412,-0.0626384531002585,0.0005379065608228425,0.39894152422564444,1104.7707786507426
FR0012516417=,9.012596125357674e-06,5.277572066919546e-06,0.2841554651211773,8.735644531250019,1.3515051738414945,0.11233121455611421,-0.04939714465469085,0.3849973469845797,843.0502748363485
FR0012648590=,5.4167665027524164e-05,0.00010793227733493831,3.4145744237874805e-52,6.0607421875000105,1.0164604460599564,-0.07243176879749051,0.0057936729029118925,0.25917198492119226,384.0563849550507
FR0012821940=,0.05133656164668415,0.009520275503825278,0.003638983375261535,8.959960937500014,1.5787032621778085,0.33740870464288425,-0.09831938067448545,0.5112035095829384,841.7892845250146
FR0013217346=,0.371888085349134,0.07178155212813914,0.0002455076242345708,15.66171875000003,1.7397680718319037,0.8146851142176206,-0.16566773185683897,0.6071893627402098,407.54389023729925
FR0013222494=,0.6491494672730797,0.6491494672730797,0.2291726490674843,80.54531250000014,1.8597677971892816,1.0,-0.11336954903396883,0.6656724610029947,383.1738550541322
CLNV.PA,0.008737628039926212,0.0021749823299585134,0.004908856374489573,9.347558593750017,1.5391481010983143,0.282860584249106,-0.11506899623638903,0.5058126790022278,830.8268059729464
SCLR.PA,1.390647933632861e-39,5.022526484954352e-31,1.4507388467891741e-16,6.590722656250012,0.5,0.0035053644801203753,-0.0364777167711877,0.07000617449336573,2727.3140010451966
IISP.PA,1.827678728067455e-18,4.267744848352203e-20,3.2744029111358383e-23,8.077148437500014,1.3871717622129296,0.1345211287804722,-0.07685750245519268,0.42439020272508277,3488.662441546645
ALNEV.PA,1.4165664983455412e-14,6.601393599529864e-14,2.5673937012447606e-16,8.507812500000018,1.5215680277156096,0.25906892151894645,-0.08647906331164357,0.4101111711768207,2223.0949587514906
ALPRI.PA,1.9737533187609756e-28,9.693820339235518e-36,9.583135070008455e-47,6.645312500000012,0.877765475204728,-0.06595959141463383,-0.0338050279688532,0.23325976224861364,3127.9290412580613
ALTVO.PA,1.3843737634968188e-19,5.943104963531906e-25,2.024829453983917e-22,7.121093750000012,1.1943770821479085,0.05143393743933804,-0.05130762320322573,0.3546570585594339,3399.973455283466
ALMED.PA,6.721191205504377e-25,1.5993386461747932e-25,1.093433147030455e-09,6.924316406250012,1.1084830672436414,-0.0006791585528370935,-0.025055754898887606,0.3114853533776941,3242.566332242735
OLG.PA,1.0595072473020198e-20,6.492961867801866e-20,9.081648792069238e-09,6.889160156250012,1.3305915235983319,0.014656505634840583,-0.0289151548980633,0.3720147292409913,3220.772351144974
ALGEM.PA,8.280929646252446e-68,4.417732090967852e-63,1.3010481428655656e-115,5.90361328125001,0.5,-0.07495540984146791,-0.021992034396760073,1e-06,-1783.7558828061192
ALA2M.PA^D18,1.002761225025549e-37,1.1737202128534587e-30,1.2264908093809884e-16,5.76640625000001,0.5,0.0016272845585539911,-0.043320345798306,0.028106385966167595,741.0521033554185
ALMDT.PA,8.790361617725564e-57,2.031574435307853e-53,2.174169555031109e-97,5.8299804687500085,0.5000071467403355,-0.015580144117325749,0.010287985709442919,1e-06,-1639.2009095239375
ALSGD.PA,3.043072737978357e-08,6.404879044856557e-11,2.4995568722608125e-06,8.271777343750015,1.3692588593300996,0.08690640456395402,-0.05723183664323269,0.4097559407039643,1449.9093954919113
ALCOR.PA,0.0014199602331663311,2.943240247298418e-05,0.0004621436434153104,7.5901367187500135,1.4110896256289156,0.19560598881033445,-0.0997771216254498,0.41092608953150855,758.2084845050903
FR0010870949=,3.142200783710542e-123,6.268840782725083e-121,1.6057853283524446e-73,6.834570312500012,1.022943950994342,0.036748159620601316,-0.04655671394877399,0.037920388163795324,-1498.3150554005629
FR0011847714=,2.1136571761731926e-14,5.615299387967988e-13,0.1630589242947037,6.391308593750011,1.2402821370456452,0.03408244468464197,-0.05044746398746617,0.3275421070429327,1042.3887940309876
FR0012821932=,2.1805068730508594e-30,3.561669060582788e-35,0.026814790947584065,6.491992187500011,0.8425281318960872,-0.04646029505033301,0.05290005301441286,0.05209917289034815,-165.08215088224853
FR0010895987=,2.837157568410248e-139,4.802994225615744e-135,0.0831018118027487,12.898242187500024,0.8811446810448375,-0.004219042905154868,0.009083839627771635,0.016952505165625062,-2728.216502803757
FR132873356=,9.398948326203839e-05,0.0009428899240781516,0.11632240599072646,6.592480468750011,1.454734667125067,-0.04101739149444134,-0.006513553951033351,0.41544761341893705,656.1872472994608
FR083303662=,1.0201811432232142e-15,1.935148381425479e-15,0.00020016068216033214,6.661718750000012,1.320911304864516,0.17606312596250068,-0.08233154678814959,0.3510881859572021,1550.721920107063
FR108016370=,2.397997974076619e-09,1.411393024738528e-08,2.916308039553829e-06,6.547265625000012,1.2890362647857936,0.15213807836617574,-0.09068154923504468,0.36056565091408976,1068.8399202147975
