country,year,loggdp,loginv,logpop,loghcap
GBR,1987,-3.98629,-1.669978,17.43353,2.35958
GBR,1988,-3.938626,-1.582417,17.43441,2.365175
GBR,1989,-3.918008,-1.530105,17.4351,2.370842
GBR,1990,-3.911672,-1.584277,17.43606,2.376978
GBR,1991,-3.925767,-1.717656,17.43642,2.383603
GBR,1992,-3.92208,-1.803397,17.4355,2.401715
GBR,1993,-3.897993,-1.848719,17.43541,2.418491
GBR,1994,-3.857068,-1.837707,17.43761,2.435848
GBR,1995,-3.832119,-1.811007,17.44086,2.443338
GBR,1996,-3.808503,-1.799547,17.44409,2.449176
GBR,1997,-3.780527,-1.803023,17.44718,2.465035
GBR,1998,-3.752277,-1.740668,17.45083,2.469725
GBR,1999,-3.72788,-1.761863,17.45631,2.477034
GBR,2000,-3.694933,-1.773796,17.46291,2.479568
GBR,2001,-3.679682,-1.794528,17.46965,2.484373
GBR,2002,-3.66586,-1.80434,17.47563,2.488915
GBR,2003,-3.6475,-1.838255,17.48214,2.494741
GBR,2004,-3.623142,-1.811207,17.48857,2.496473
GRC,1960,,,15.49952,
GRC,1961,,,15.50407,
GRC,1962,,,15.51258,
GRC,1963,,,15.51617,
GRC,1964,,-1.53517,15.51743,
GRC,1965,,-1.497098,15.52012,
GRC,1966,,-1.456555,15.52742,
GRC,1967,,-1.50082,15.53855,
GRC,1968,-4.744357,-1.370596,15.53591,
GRC,1969,-4.634933,-1.322762,15.53273,1.998446
GRC,1970,-4.549392,-1.357327,15.53114,2.001964
GRC,1971,-4.466445,-1.313325,15.52369,2.009181
GRC,1972,-4.382078,-1.173913,15.53609,2.016397
GRC,1973,-4.308303,-1.163857,15.54013,2.023614
GRC,1974,-4.378002,-1.42825,15.54328,2.03083
GRC,1975,-4.326191,-1.432557,15.55319,2.038047
GRC,1976,-4.273153,-1.410103,15.56643,2.044458
GRC,1977,-4.257231,-1.281611,15.57949,2.050869
GRC,1978,-4.200329,-1.174048,15.59255,2.05728
GRC,1979,-4.180764,-1.108412,15.60528,2.063691
GRC,1980,-4.188204,-1.252733,15.61947,2.07059
GRC,1981,-4.218812,-1.344503,15.63442,2.077064
GRC,1982,-4.241151,-1.444147,15.64536,2.086392
GRC,1983,-4.263294,-1.375027,15.65666,2.096065
GRC,1984,-4.253324,-1.58723,15.6666,2.106071
GRC,1985,-4.237458,-1.51566,15.67552,2.116424
GRC,1986,-4.23977,-1.476707,15.68299,2.129279
GRC,1987,-4.268376,-1.532331,15.68875,2.142721
GRC,1988,-4.232417,-1.535778,15.69478,2.156761
GRC,1989,-4.202156,-1.489779,15.70181,2.171439
GRC,1990,-4.210473,-1.465286,15.71013,2.186759
GRC,1991,-4.195354,-1.489162,15.72554,2.202754
GRC,1992,-4.199099,-1.546722,15.73626,2.219443
GRC,1993,-4.222836,-1.596676,15.74387,2.236851
GRC,1994,-4.209164,-1.679765,15.75,2.255001
GRC,1995,-4.192356,-1.68197,15.75397,2.256059
GRC,1996,-4.170601,-1.63633,15.75553,2.257107
